	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
124	8.307032	1.5973382	2837.8477	0.38479555	16.973207	4512.1187	0.25099006	15.892771	1.3863056	0.16295385
125	8.223501	1.588023	2776.1465	0.38413665	16.693789	4546.2637	0.24966249	15.624672	1.3671112	0.16164185
126	8.252921	1.5742861	2808.0164	0.3866335	16.819244	4551.3423	0.24980137	15.825193	1.365933	0.16132645
127	8.282748	1.5667213	2776.5398	0.3813532	16.796707	4521.534	0.25007564	15.640842	1.3531053	0.1601709
128	8.128198	1.5500833	2762.6765	0.38483915	16.685572	4470.246	0.24562746	15.676305	1.3566558	0.15784784
129	8.149857	1.5515063	2754.3916	0.38391653	16.741339	4485.124	0.24696042	15.524505	1.3407282	0.15961319
130	8.159929	1.5241146	2679.01	0.3860916	16.705746	4432.9053	0.24697928	15.298881	1.3291216	0.15613186
131	8.146361	1.5042303	2700.638	0.38609213	16.500126	4460.387	0.2484624	15.479979	1.3229355	0.15716667
132	8.124485	1.535973	2712.294	0.3861525	16.395227	4419.131	0.2472397	15.049916	1.3165581	0.15537283
133	8.122672	1.5211474	2655.4492	0.3823861	16.396883	4396.8027	0.24817973	15.090138	1.3071232	0.15524912
134	8.02432	1.5132872	2669.0447	0.3834374	16.483116	4408.655	0.24628834	15.054111	1.3142563	0.15620679
135	8.051607	1.5077882	2629.0742	0.38145787	16.250551	4390.172	0.24419579	14.97219	1.2750632	0.15480562
136	8.12281	1.4966381	2602.0159	0.38380823	15.865361	4369.9346	0.24345386	14.838896	1.2834301	0.15314548
137	8.129354	1.5095936	2591.6133	0.3861554	16.139513	4353.1357	0.2434463	14.81226	1.268886	0.15116489
138	8.030353	1.4718084	2561.11	0.38287777	15.81221	4335.0864	0.24342078	14.687072	1.2750714	0.15096915
139	8.034758	1.4919392	2529.3003	0.3829949	15.865132	4326.531	0.24245863	14.622123	1.2629424	0.15147242
140	8.024517	1.4798169	2530.2896	0.38138112	15.922465	4332.814	0.24071926	14.755964	1.2517995	0.15032077
141	8.003554	1.4744589	2498.7078	0.38261008	15.65454	4326.783	0.24097425	14.663131	1.2383158	0.14874075
142	8.036026	1.4682841	2484.2102	0.38393712	15.662701	4344.2217	0.24209896	14.472184	1.2446513	0.14760105
143	7.9858365	1.457177	2479.3716	0.38414305	15.8785305	4303.6006	0.24171175	14.338379	1.2301608	0.14609322
144	7.98269	1.4432175	2465.7812	0.38412446	15.520072	4312.582	0.23896614	14.324393	1.2278875	0.14632928
145	7.9320416	1.4534034	2449.1333	0.38065758	15.405159	4307.2197	0.23756367	14.441101	1.2190654	0.14555633
146	7.958496	1.4458573	2446.032	0.37981784	15.441978	4244.433	0.24047914	14.259098	1.2201701	0.1462796
