	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
173	4.1688666	0.63438433	66.189735	0.17091057	3.6092784	2141.3076	0.10757455	3.9112406	0.37651718	0.06412451
174	4.213829	0.6427018	70.023735	0.1721328	3.5928402	2146.102	0.10777128	3.9232373	0.3784586	0.06475722
175	4.2135777	0.64155	67.7738	0.17220916	3.614081	2120.2065	0.1083125	3.8901916	0.37677923	0.06433092
176	4.2121997	0.6429585	70.017975	0.16977349	3.6147597	2125.4163	0.108262986	3.928786	0.37698445	0.06450349
177	4.1935587	0.6339146	67.24772	0.16911854	3.594222	2126.5688	0.10669718	3.9002786	0.37507942	0.064144544
178	4.1733904	0.6377557	69.90281	0.1682454	3.6041017	2111.3203	0.107710436	3.9192917	0.37527192	0.064479545
179	4.191302	0.6351514	68.873604	0.16974053	3.6261196	2129.7104	0.10755744	3.8942509	0.375942	0.06457211
180	4.22098	0.64651716	68.30965	0.17065105	3.6142912	2141.7217	0.106654696	3.9182634	0.3760821	0.06471632
181	4.2104244	0.6399992	67.833374	0.17174137	3.6179948	2129.8647	0.107657135	3.9122243	0.3769526	0.064241275
182	4.1946197	0.63969284	68.87544	0.17071201	3.632613	2115.7195	0.107976146	3.8943806	0.37600082	0.0642785
183	4.191397	0.6407811	67.5539	0.17041191	3.6049395	2127.4949	0.10679682	3.8974245	0.37442258	0.064440146
184	4.2036166	0.63818103	68.13147	0.16781689	3.6217797	2112.0054	0.10725034	3.8761137	0.37623566	0.064250454
185	4.168013	0.63853174	68.798355	0.16935688	3.5960138	2125.9983	0.107468225	3.8645277	0.37725353	0.064472154
186	4.2154655	0.64032626	69.72963	0.17046651	3.6282191	2122.9834	0.10881455	3.901156	0.37408864	0.06448897
187	4.1851177	0.63685983	66.766525	0.17100951	3.6146438	2126.8274	0.10737692	3.895306	0.37452975	0.06437268
188	4.1890383	0.6345282	70.37989	0.16751184	3.5814571	2094.5354	0.1073838	3.8773456	0.3761397	0.06423932
189	4.1691976	0.63230187	68.05009	0.16788538	3.588734	2109.3682	0.10666146	3.8801203	0.37404612	0.06414808
190	4.166883	0.6307015	68.946396	0.16817433	3.5891006	2123.589	0.10740828	3.898504	0.37284598	0.06439697
191	4.169123	0.6390763	66.83401	0.16950966	3.6046999	2130.0156	0.10667136	3.9164753	0.37441048	0.06421774
192	4.1740203	0.643354	68.55652	0.17095494	3.6338646	2133.6843	0.10758536	3.9149535	0.37690842	0.06456426
193	4.1466274	0.6343434	67.597435	0.16852124	3.6183438	2117.633	0.10583859	3.909942	0.37577382	0.06438448
194	4.179183	0.6380449	67.112076	0.16869482	3.6115377	2122.2432	0.107152075	3.8984883	0.37527165	0.064457014
195	4.1647296	0.6310833	69.66575	0.16689137	3.6023421	2104.9346	0.10655533	3.9124558	0.3743933	0.06412273
196	4.1677947	0.6401585	66.7448	0.17179851	3.6043363	2130.706	0.10757575	3.9246006	0.3757129	0.06475143
197	4.202536	0.6389319	69.70367	0.16968724	3.5956244	2122.4363	0.10678437	3.9091773	0.3730767	0.06442562
198	4.1950445	0.63436466	68.64418	0.16985114	3.6095524	2130.7056	0.10756609	3.9199884	0.37356627	0.06447947
199	4.17415	0.6441159	67.35344	0.17240725	3.616548	2137.9753	0.1081091	3.9127252	0.375804	0.06475533
